'y-axis saved as y
'x,NN_StartingMaterials_Ba(NO3)2.raw
21.9874212,113
22.006007,133
22.0245928,102
22.0431786,61
22.0617644,56
22.0803502,44
22.098936,27
22.1175218,30
22.1361076,25
22.1546934,23
22.1732792,20
22.191865,20
22.2104508,27
22.2290366,13
22.2476224,21
22.2662082,13
22.284794,17
22.3033798,19
22.3219656,13
22.3405514,17
22.3591372,13
22.377723,16
22.3963088,21
22.4148946,13
22.4334804,14
22.4520662,13
22.470652,9
22.4892378,15
22.5078236,15
22.5264094,18
22.5449952,12
22.563581,15
22.5821668,14
22.6007526,17
22.6193384,8
22.6379242,16
22.65651,13
22.6750958,17
22.6936816,17
22.7122674,17
22.7308532,17
22.749439,14
22.7680248,13
22.7866106,13
22.8051964,13
22.8237822,19
22.842368,9
22.8609538,13
22.8795396,16
22.8981254,14
22.9167112,12
22.935297,11
22.9538828,22
22.9724686,22
22.9910544,19
23.0096402,17
23.028226,17
23.0468118,12
23.0653976,20
23.0839834,21
23.1025692,10
23.121155,16
23.1397408,21
23.1583266,8
23.1769124,22
23.1954982,26
23.214084,12
23.2326698,14
23.2512556,9
23.2698414,15
23.2884272,16
23.307013,12
23.3255988,14
23.3441846,11
23.3627704,16
23.3813562,17
23.399942,18
23.4185278,13
23.4371136,12
23.4556994,17
23.4742852,15
23.492871,13
23.5114568,14
23.5300426,10
23.5486284,19
23.5672142,11
23.5858,12
23.6043858,14
23.6229716,15
23.6415574,13
23.6601432,19
23.678729,11
23.6973148,13
23.7159006,22
23.7344864,9
23.7530722,15
23.771658,9
23.7902438,21
23.8088296,18
23.8274154,24
23.8460012,13
23.864587,18
23.8831728,20
23.9017586,16
23.9203444,13
23.9389302,17
23.957516,18
23.9761018,16
23.9946876,18
24.0132734,20
24.0318592,20
24.050445,11
24.0690308,15
24.0876166,23
24.1062024,12
24.1247882,14
24.143374,14
24.1619598,19
24.1805456,6
24.1991314,16
24.2177172,10
24.236303,20
24.2548888,8
24.2734746,14
24.2920604,20
24.3106462,18
24.329232,16
24.3478178,25
24.3664036,13
24.3849894,22
24.4035752,19
24.422161,13
24.4407468,18
24.4593326,21
24.4779184,15
24.4965042,14
24.51509,26
24.5336758,28
24.5522616,35
24.5708474,28
24.5894332,45
24.608019,30
24.6266048,39
24.6451906,27
24.6637764,33
24.6823622,34
24.700948,34
24.7195338,25
24.7381196,32
24.7567054,22
24.7752912,33
24.793877,40
24.8124628,27
24.8310486,23
24.8496344,15
24.8682202,17
24.886806,17
24.9053918,16
24.9239776,12
24.9425634,21
24.9611492,20
24.979735,11
24.9983208,20
25.0169066,16
25.0354924,12
25.0540782,19
25.072664,16
25.0912498,19
25.1098356,11
25.1284214,11
25.1470072,16
25.165593,10
25.1841788,16
25.2027646,16
25.2213504,12
25.2399362,17
25.258522,17
25.2771078,18
25.2956936,10
25.3142794,11
25.3328652,18
25.351451,12
25.3700368,10
25.3886226,13
25.4072084,16
25.4257942,12
25.44438,12
25.4629658,12
25.4815516,16
25.5001374,18
25.5187232,10
25.537309,18
25.5558948,18
25.5744806,10
25.5930664,12
25.6116522,15
25.630238,13
25.6488238,15
25.6674096,11
25.6859954,14
25.7045812,17
25.723167,23
25.7417528,25
25.7603386,12
25.7789244,13
25.7975102,14
25.816096,12
25.8346818,10
25.8532676,13
25.8718534,14
25.8904392,8
25.909025,23
25.9276108,18
25.9461966,10
25.9647824,20
25.9833682,17
26.001954,17
26.0205398,18
26.0391256,14
26.0577114,12
26.0762972,14
26.094883,7
26.1134688,20
26.1320546,21
26.1506404,13
26.1692262,13
26.187812,13
26.2063978,14
26.2249836,9
26.2435694,12
26.2621552,14
26.280741,15
26.2993268,16
26.3179126,12
26.3364984,14
26.3550842,9
26.37367,11
26.3922558,15
26.4108416,12
26.4294274,17
26.4480132,20
26.466599,11
26.4851848,20
26.5037706,13
26.5223564,16
26.5409422,14
26.559528,23
26.5781138,20
26.5966996,20
26.6152854,20
