wavelength,"(174, 3052)","(180, 3085)","(143, 3166)","(158, 3222)","(170, 3189)","(161, 3058)","(173, 3138)","(146, 3174)","(159, 3142)","(149, 3109)","(149, 3085)"
562.145,0.589445,0.513391,0.526432,0.366071,0.368909,0.447727,0.491303,0.5657,0.531695,0.48706,0.453792
563.772,0.592772,0.525644,0.513389,0.365412,0.37281,0.435577,0.492503,0.570698,0.520925,0.482137,0.445292
565.399,0.594504,0.526811,0.531551,0.378442,0.37856,0.451618,0.485824,0.566435,0.536807,0.488396,0.455886
567.025,0.603022,0.529738,0.538836,0.386299,0.379517,0.45444,0.501304,0.590062,0.548,0.511945,0.458737
568.652,0.603164,0.543334,0.547681,0.385397,0.387863,0.46405,0.509149,0.580592,0.548767,0.506581,0.464724
570.279,0.610651,0.542882,0.543464,0.39596,0.388426,0.455738,0.507353,0.586666,0.551744,0.521517,0.467908
571.906,0.599748,0.552119,0.560168,0.396178,0.404226,0.469512,0.505108,0.600729,0.554004,0.528099,0.484147
573.532,0.615708,0.557018,0.561026,0.398011,0.39484,0.47269,0.523008,0.586567,0.559467,0.514325,0.489839
575.159,0.615579,0.555888,0.562709,0.399224,0.404268,0.472654,0.536062,0.603997,0.574783,0.533159,0.493529
576.786,0.620129,0.566593,0.562472,0.409517,0.406001,0.468851,0.534362,0.611317,0.563571,0.531304,0.482885
578.412,0.629008,0.576034,0.588207,0.412431,0.40771,0.497633,0.535982,0.620566,0.580972,0.54533,0.501411
580.039,0.627123,0.578452,0.591921,0.422946,0.412169,0.491266,0.53727,0.627684,0.583115,0.546525,0.500843
581.666,0.642782,0.58779,0.590856,0.423065,0.421879,0.500214,0.540188,0.618687,0.594046,0.564693,0.509364
583.293,0.64111,0.591034,0.604427,0.42402,0.419552,0.490422,0.544757,0.635527,0.597569,0.555715,0.520095
584.919,0.647816,0.602242,0.606748,0.44228,0.422029,0.497217,0.556794,0.644998,0.598173,0.560699,0.524486
586.546,0.660906,0.612362,0.620757,0.443561,0.432043,0.503641,0.55623,0.661897,0.594208,0.567342,0.529842
588.173,0.656761,0.616753,0.612742,0.43806,0.43222,0.507931,0.56539,0.645251,0.609487,0.5751,0.533121
589.8,0.65495,0.61587,0.632125,0.450646,0.437573,0.514399,0.566478,0.665654,0.605727,0.591738,0.543784
591.426,0.668777,0.614305,0.626729,0.45423,0.437604,0.520616,0.572054,0.652745,0.619709,0.595873,0.547687
593.053,0.673508,0.6129,0.634848,0.448939,0.454296,0.53073,0.573913,0.657185,0.632574,0.579607,0.544664
594.68,0.676978,0.618523,0.634355,0.467301,0.447588,0.522744,0.581267,0.677348,0.625805,0.601074,0.55008
596.307,0.682787,0.633018,0.654444,0.459886,0.448011,0.540365,0.583408,0.677992,0.635099,0.568035,0.552143
597.933,0.675365,0.63254,0.647877,0.457148,0.450404,0.53312,0.588589,0.667357,0.637873,0.597473,0.564937
599.56,0.688243,0.636486,0.659424,0.475152,0.451718,0.537066,0.581887,0.680505,0.648679,0.614387,0.558865
601.187,0.684433,0.641044,0.664203,0.465992,0.457432,0.544308,0.59262,0.703171,0.645271,0.616676,0.574076
