wavelength,"(877, 2902)","(845, 3248)","(815, 3120)","(851, 3113)","(822, 3072)","(851, 3182)","(790, 3304)","(842, 3010)","(860, 3073)","(842, 2948)"
576.786,0.518412,0.515476,0.459056,0.574454,0.639741,0.711249,0.575417,0.510594,0.468312,0.689426
578.412,0.524313,0.526739,0.462889,0.565888,0.647931,0.719183,0.589112,0.513267,0.487216,0.703971
580.039,0.527185,0.535249,0.464413,0.583638,0.641825,0.727322,0.584676,0.535262,0.490069,0.695401
581.666,0.526985,0.542185,0.470158,0.580004,0.659777,0.722562,0.598828,0.522797,0.496664,0.707852
583.293,0.522737,0.531815,0.470551,0.59485,0.659183,0.728086,0.603073,0.532422,0.501676,0.716297
584.919,0.539161,0.544638,0.477053,0.588502,0.673876,0.746193,0.609933,0.538064,0.502177,0.709227
586.546,0.538038,0.551275,0.47674,0.591091,0.675629,0.753201,0.608596,0.543927,0.508704,0.724138
588.173,0.547885,0.54986,0.485456,0.60331,0.673798,0.747029,0.59969,0.552752,0.521004,0.724725
589.8,0.54751,0.557744,0.481366,0.608671,0.679333,0.751363,0.613133,0.553191,0.512239,0.725194
591.426,0.548511,0.564365,0.490577,0.618979,0.683513,0.755616,0.62457,0.549471,0.522952,0.727427
593.053,0.556816,0.557283,0.490997,0.622857,0.697126,0.761443,0.630927,0.552885,0.519658,0.733099
594.68,0.56827,0.565288,0.508374,0.618906,0.686182,0.769213,0.635296,0.560745,0.524018,0.732076
596.307,0.560841,0.56147,0.502086,0.621936,0.709104,0.768499,0.632356,0.561998,0.530405,0.741293
597.933,0.564193,0.56667,0.500492,0.628107,0.707821,0.780524,0.645983,0.56907,0.535767,0.753212
599.56,0.571475,0.574361,0.51119,0.631717,0.714094,0.780083,0.642454,0.589109,0.549323,0.758678
601.187,0.581288,0.579024,0.50499,0.630587,0.712245,0.784869,0.650383,0.589994,0.545942,0.75753
602.814,0.575318,0.5871,0.511097,0.649728,0.716497,0.795506,0.657064,0.586431,0.550361,0.757151
604.44,0.594258,0.579739,0.530096,0.65394,0.726941,0.79547,0.641124,0.598015,0.551199,0.769281
606.067,0.586775,0.591412,0.532643,0.648149,0.715819,0.81191,0.64701,0.59806,0.562836,0.774824
607.694,0.595708,0.594954,0.537284,0.657226,0.733185,0.814184,0.663322,0.595812,0.568022,0.7794
609.321,0.600183,0.607949,0.557076,0.65511,0.738444,0.805281,0.675741,0.612671,0.571135,0.783727
610.947,0.604816,0.609074,0.558474,0.663927,0.748029,0.808708,0.677719,0.616301,0.573702,0.80155
612.574,0.603122,0.606352,0.552815,0.668056,0.759102,0.835853,0.675793,0.618643,0.587238,0.794599
614.201,0.616773,0.613807,0.55593,0.664557,0.742274,0.832105,0.67283,0.627563,0.580403,0.792107
615.828,0.621003,0.605218,0.551836,0.680643,0.765376,0.830385,0.686136,0.628444,0.584232,0.80143
617.454,0.61342,0.620702,0.551278,0.683381,0.774427,0.836068,0.691117,0.630363,0.591418,0.794982
