'y-axis saved as y
'x,ML_Wallace_04122019_1_NN_1_ZrP_CrucibleRetest_5-60_4min_BkgSubtracted.raw
8.252515,-7.04000854
8.2711008,13.9779968
8.2896866,-15.0032806
8.3082724,12.0161591
8.3268582,6.03633118
8.345444,-13.9427795
8.3640298,15.0788269
8.3826156,23.1011658
8.4012014,-0.875793457
8.4197872,16.1479797
8.438373,-0.827514648
8.4569588,-10.8023071
8.4755446,-5.77636719
8.4941304,-2.74971008
8.5127162,15.2776794
8.531302,17.3057861
8.5498878,16.33461
8.5684736,-0.635848999
8.5870594,-19.6055908
8.6056452,15.4253998
8.624231,2.4571228
8.6428168,37.4895477
8.6614026,4.52270508
8.6799884,9.55657959
8.6985742,-20.4088287
8.71716,13.6264954
8.7357458,14.6625214
8.7543316,8.69929504
8.7729174,5.73677063
8.7915032,-1.22502136
8.810089,8.81390381
8.8286748,3.85354614
8.8472606,0.893920898
8.8658464,0.934997559
8.8844322,1.97680664
8.903018,38.0193481
8.9216038,-1.93739319
8.9401896,5.10658264
8.9587754,1.15127563
8.9773612,13.1966858
8.995947,-11.7571716
9.0145328,-2.71031189
9.0331186,14.3372803
9.0517044,-15.6144257
9.0702902,-0.56539917
9.088876,7.48435974
9.1074618,14.5348206
9.1260476,14.5860138
9.1446334,6.63792419
9.1632192,11.6905518
9.181805,-6.25608826
9.2003908,-3.20201111
9.2189766,13.8527832
9.2375624,-8.09169006
9.2561482,-11.0354614
9.274734,29.0215149
9.2933198,24.0791931
9.3119056,2.13760376
9.3304914,6.19671631
9.3490772,26.2565765
9.367663,5.31713867
9.3862488,7.37843323
9.4048346,17.4404449
9.4234204,-4.49682617
9.4420062,-0.433364868
9.460592,7.6308136
9.4791778,6.69570923
9.4977636,20.7613373
9.5163494,10.8276672
9.5349352,14.8947296
9.553521,22.9625244
9.5721068,-3.96897888
9.5906926,0.100250244
9.6092784,-3.82980347
9.6278642,-4.75912476
9.64645,-13.6877289
9.6650358,7.38438416
9.6836216,1.45721436
9.7022074,13.5307617
9.7207932,7.6050415
9.739379,-0.319961548
9.7579648,15.7557678
9.7765506,19.8322144
9.7951364,-29.0906219
9.8137222,8.98725891
9.832308,11.0658722
9.8508938,-8.85481262
9.8694796,13.2252502
9.8880654,9.30601501
9.9066512,-15.6124878
9.925237,15.4697266
9.9438228,10.5526581
9.9624086,5.63630676
9.9809944,4.72068787
9.9995802,-7.19421387
10.018166,15.8916168
10.0367518,5.97816467
10.0553376,46.0654144
10.0739234,-1.84658813
10.0925092,15.2421112
10.111095,8.33154297
10.1296808,-12.5783081
10.1482666,14.5125732
10.1668524,3.60415649
10.1854382,27.6964722
10.204024,0.789505005
10.2226098,9.88327026
10.2411956,10.9777527
10.2597814,33.0729523
10.2783672,-0.831130981
10.296953,0.265518188
10.3155388,14.3628845
10.3341246,12.460968
10.3527104,-1.44021606
10.3712962,-3.34069824
10.389882,7.759552
10.4084678,37.8605347
10.4270536,35.9622192
10.4456394,10.0646362
10.4642252,2.16778564
10.482811,18.271637
10.5013968,13.3762207
10.5199826,14.4815216
10.5385684,-0.412460327
10.5571542,14.6942902
10.57574,8.80175781
10.5943258,-10.0900574
10.6129116,1.01885223
10.6314974,-11.871521
10.6500832,12.2388306
10.668669,8.34990692
10.6872548,22.4617004
10.7058406,19.5742188
10.7244264,7.68745422
10.7430122,-2.19858551
10.761598,14.9160995
10.7801838,23.0315018
10.7987696,-17.8523788
10.8173554,-3.73552704
10.8359412,-4.6179657
10.854527,11.5003281
10.8731128,2.61933136
10.8916986,24.7390671
10.9102844,11.85952
10.9288702,11.98069
10.947456,5.10259247
10.9660418,-4.77479553
10.9846276,8.34854889
11.0032134,34.4726028
11.0217992,-10.4026108
11.040385,-6.27710724
11.0589708,19.8491135
11.0775566,47.976059
11.0961424,-8.89627075
11.1147282,4.2321167
11.133314,2.36122894
11.1518998,-0.508934021
11.1704856,1.62161255
11.1890714,6.75289154
11.2076572,-7.1151123
11.226243,4.01760864
11.2448288,17.1510468
11.2634146,-0.714790344
11.2820004,5.42008972
11.3005862,8.55569458
11.319172,30.6920166
11.3377578,12.8290634
11.3563436,10.966835
11.3749294,5.10532379
11.3935152,0.244537354
11.412101,-1.61553192
11.4306868,6.5251236
11.4492726,5.66650391
11.4678584,13.8086014
11.4864442,19.951416
11.50503,9.09495544
11.5236158,7.23921967
11.5422016,-6.61579895
11.5607874,17.5299072
11.5793732,3.6763382
11.597959,20.8234787
11.6165448,8.97135162
11.6351306,16.1199417
11.6537164,22.2692566
11.6723022,9.41928864
11.690888,10.5700455
11.7094738,-6.27848053
11.7280596,10.8737183
11.7466454,11.0266418
11.7652312,-13.8197174
11.783817,2.3346405
11.8024028,13.4897308
11.8209886,5.6455307
11.8395744,7.80206299
11.8581602,13.9593124
11.876746,-8.88272095
11.8953318,-7.72402954
11.9139176,5.43538666
11.9325034,4.59552002
11.9510892,2.75637817
11.969675,-10.0820465
11.9882608,2.0802536
12.0068466,4.24327087
12.0254324,3.40701294
12.0440182,16.5714798
12.062604,10.7366638
12.0811898,15.9025726
12.0997756,14.0691986
12.1183614,1.23654938
12.1369472,2.40461731
12.155533,6.57341003
12.1741188,9.74292755
12.1927046,-0.0868377686
12.2112904,-1.91588593
12.2298762,-16.7442017
12.248462,11.4281921
12.2670478,18.6013184
12.2856336,-8.22483826
12.3042194,9.94972229
12.3228052,19.1250076
12.341391,13.3010178
12.3599768,18.4777451
12.3785626,10.6551971
12.3971484,2.83336639
12.4157342,-11.9877396
12.43432,-1.83960724
12.4529058,-5.69075775
12.4714916,6.45881653
12.4900774,8.6091156
12.5086632,-28.2398682
12.527249,1.91186523
12.5458348,-10.9356689
12.5644206,12.217514
12.5830064,24.3714142
12.6015922,7.52603912
12.620178,3.68138123
12.6387638,11.8374481
12.6573496,21.9942398
12.6759354,7.15174866
12.6945212,25.3099823
12.713107,6.46893311
12.7316928,-9.3713913
12.7502786,-1.21099091
12.7688644,-10.0498734
12.7874502,-0.894592285
12.806036,12.2614136
12.8246218,-4.5818634
12.8432076,2.57558441
12.8617934,4.73374939
12.8803792,-8.10736084
12.898965,13.0522461
12.9175508,-13.7874222
12.9361366,-7.62636566
12.9547224,10.535408
12.9733082,-6.30209351
12.991894,0.861122131
13.0104798,0.025062561
13.0290656,3.18972015
13.0476514,5.35510254
13.0662372,17.5212097
13.084823,1.68803406
13.1034088,-5.14442444
13.1219946,0.0238494873
13.1405804,23.1928329
13.1591662,6.36254883
13.177752,-2.46701813
13.1963378,5.70413208
13.2149236,5.87600708
13.2335094,12.0486069
13.2520952,10.2219238
13.270681,26.3959656
13.2892668,21.5707245
13.3078526,-5.25379181
13.3264384,4.92240906
13.3450242,13.0993423
13.36361,7.27698517
13.3821958,-7.54464722
13.4007816,2.63444519
13.4193674,-3.18574524
13.4379532,7.99478912
13.456539,17.1760483
13.4751248,-22.6419754
13.4937106,2.54071808
13.5122964,5.72413635
13.5308822,9.90827942
13.549468,6.09313965
13.5680538,8.27872467
13.5866396,19.4650269
13.6052254,5.65205383
13.6238112,11.8398056
13.642397,19.0282745
13.6609828,4.21746826
13.6795686,1.40737915
13.6981544,0.598014832
13.7167402,-0.210632324
13.735326,23.9814453
13.7539118,16.1742477
13.7724976,11.3677673
13.7910834,13.5620041
13.8096692,18.7569656
13.828255,-7.04734802
13.8468408,27.1490631
13.8654266,6.34618378
13.8840124,-2.45596313
13.9025982,0.742607117
13.921184,-6.05809784
13.9397698,8.14191437
13.9583556,3.34264374
13.9769414,1.54410553
13.9955272,19.7462845
14.014113,3.9491806
14.0326988,-11.8471985
14.0512846,3.35714722
14.0698704,2.56221008
14.0884562,9.76799011
14.107042,8.97450256
14.1256278,9.18172455
14.1442136,13.389679
14.1627994,15.5983505
14.1813852,5.80773926
14.199971,-12.9821472
14.2185568,16.2286911
14.2371426,4.44024658
14.2557284,10.6525269
14.2743142,5.86552429
14.2929,3.07924652
14.3114858,15.2936935
14.3300716,14.5088577
14.3486574,2.7247467
14.3672432,10.9413528
14.385829,-9.84131622
14.4044148,-2.62326813
14.4230006,3.59550476
14.4415864,6.81499481
14.4601722,8.03520966
14.478758,1.25614929
14.4973438,-1.52219391
14.5159296,2.70018768
14.5345154,1.92328644
14.5531012,30.14711
14.571687,7.3716507
14.5902728,21.5969162
14.6088586,-1.17709351
14.6274444,0.0496139526
14.6460302,11.2770462
