[Header]
TITLE,1-26-2018-MK167-Ba2CaWO6-o2-ldfz-hc-.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,14.2,MASS:Sample Mass (mg)
INFO,.2,MASSERR:Sample Mass Error (mg)
INFO,594.57,MOLWGHT:Formula Weight (g/mole)
INFO,10,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (uJ/K),Addenda HC Err (uJ/K),Total HC (uJ/K),Total HC Err (uJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (uJ/K)
33760445.19,,5905,26.4742,26.5036,0.127,9.4E-6,26.299527,0.5113768,16.431855,0.2326,129.14333,0.2338,521.58214,0.5672,0.92852895,15.672385,0.081161283,97.208744,276.33171,1.506,1,,,,3.3824171E-5,47.042213,691.6651,0.6247966,0
33760857.59,,5905,28.6938,28.7288,0.127,9.3E-6,28.495353,0.51995904,19.927369,0.2818,151.57046,0.279,627.49194,0.597,3.9586234,17.846666,0.097715882,96.996335,279.70303,1.538,1,,,,3.5790015E-5,47.017155,811.98514,0.69931994,0
33761007.13,,5905,28.6972,28.7276,0.127,9.4E-6,28.518668,0.55640795,19.934757,0.2822,151.7658,0.2794,627.86373,0.6684,0.6036773,17.72157,0.090467715,97.201923,279.89486,1.554,1,,,,3.6018832E-5,53.539997,813.31445,0.69900728,0
33761177.66,,5905,28.6973,28.7254,0.127,9.4E-6,28.517563,0.55567862,19.939245,0.2823,151.75558,0.2794,627.96069,0.6763,3.2489787,17.763235,0.092653957,97.140261,279.86154,1.556,1,,,,3.5953395E-5,53.16471,813.25141,0.69919174,0
33761605.73,,5905,30.9151,30.9709,0.127,9.3E-6,30.722974,0.56657907,23.551578,0.3333,175.96565,0.3329,738.44342,0.7754,0.90694076,20.001595,0.11192044,96.900191,283.91879,1.612,1,,,,3.760839E-5,53.289705,943.9011,0.76657873,0
33761770.16,,5905,30.9231,30.9667,0.127,9.4E-6,30.749223,0.60151344,23.502614,0.3326,176.20324,0.3335,737.5116,0.7693,0.70544881,19.704861,0.10348853,97.097046,284.37749,1.613,1,,,,3.8079562E-5,60.004785,945.51468,0.76433196,0
33761931.13,,5905,30.9204,30.9634,0.127,9.4E-6,30.746289,0.59655152,23.515879,0.3327,176.1776,0.3334,737.80277,0.759,0.56395368,19.680873,0.10323709,97.099475,284.29176,1.611,1,,,,3.8140682E-5,59.114583,945.3343,0.76483633,0
33762392.03,,5905,33.1434,33.1981,0.127,9.3E-6,32.952009,0.60920416,27.222654,0.3851,201.95954,0.3906,852.11292,0.8576,0.52978051,21.952668,0.12411556,96.855629,288.63185,1.674,1,,,,3.9553761E-5,59.04262,1085.8349,0.82613035,0
33762595.89,,5905,33.1505,33.1894,0.127,9.3E-6,32.974859,0.64305116,27.182431,0.3843,202.15676,0.3911,851.34949,0.7965,3.0954861,21.567113,0.11570644,97.021212,288.99205,1.666,1,,,,4.0183025E-5,65.858005,1087.3413,0.82433806,0
33762795.3,,5905,33.1482,33.1848,0.127,9.3E-6,32.970628,0.63821348,27.181471,0.3845,202.11521,0.391,851.28501,0.8616,2.4678984,21.5838,0.11603529,97.014742,288.95879,1.677,1,,,,4.0150569E-5,64.70134,1087.0623,0.82441471,0
33763276.56,,5905,35.3733,35.4207,0.127,9.3E-6,35.176819,0.65217628,30.890066,0.4372,229.36704,0.4481,967.10849,1.022,0.26660388,23.75833,0.13682544,96.798231,293.6893,1.756,1,,,,4.1494209E-5,64.751399,1237.4086,0.87813699,0
33763495.52,,5905,35.3744,35.407,0.127,9.4E-6,35.194967,0.68454425,30.805237,0.4356,229.52906,0.4484,965.24456,0.9355,0.824687,23.389903,0.1284204,96.954236,294.15165,1.745,1,,,,4.2024962E-5,71.274989,1238.6857,0.87527392,0
33763684.86,,5905,35.3731,35.4058,0.127,9.4E-6,35.190341,0.67929998,30.794806,0.4357,229.47631,0.4483,964.94269,0.9991,0.37849499,23.328413,0.12557431,97.014414,294.15127,1.755,1,,,,4.2106974E-5,70.16971,1238.3601,0.87509258,0
33764200.97,,5905,37.6022,37.6465,0.127,9.3E-6,37.405069,0.69323376,34.434295,0.4868,257.90656,0.4924,1080.2942,0.9971,0.39906867,25.29011,0.14574589,96.811134,299.35752,1.817,1,,,,4.3536292E-5,69.985239,1399.1392,0.92057832,0
33764428.25,,5905,37.5992,37.6318,0.127,9.4E-6,37.414842,0.72287355,34.381005,0.4861,257.9799,0.4925,1079.0948,1.006,0.93864166,24.972276,0.13902671,96.923146,299.61876,1.819,1,,,,4.4010514E-5,75.870329,1399.8704,0.91891356,0
33764655.77,,5905,37.5972,37.6286,0.127,9.4E-6,37.408505,0.71920347,34.433878,0.4866,257.91267,0.4924,1080.2903,0.9385,0.85908306,25.106701,0.14078859,96.897676,299.38646,1.809,1,,,,4.3830891E-5,74.916828,1399.3963,0.9204826,0
33765203.52,,5905,39.8294,39.8606,0.127,9.3E-6,39.62825,0.73673921,37.733768,0.5337,287.83911,0.5343,1189.0274,1.162,1.0715706,26.586496,0.15318093,96.843256,305.77003,1.911,1,,,,4.5565355E-5,75.320103,1570.3982,0.95219365,0
33765444.73,,5905,39.8234,39.8464,0.127,9.4E-6,39.630911,0.76306205,37.826704,0.5347,287.84545,0.5343,1191.2533,1.075,0.65435862,26.623062,0.15304541,96.846295,305.48648,1.898,1,,,,4.5588101E-5,79.759488,1570.6091,0.95447474,0
33765685.36,,5905,39.8216,39.8485,0.127,9.4E-6,39.626725,0.76407037,37.881695,0.5351,287.79433,0.5343,1192.5155,0.964,1.6856069,26.756525,0.15538695,96.811027,305.2747,1.882,1,,,,4.5419188E-5,79.869186,1570.2773,0.95596331,0
33766245.13,,5905,42.0542,42.0801,0.127,9.4E-6,41.85189,0.78106287,41.114998,0.5816,319.43357,0.5823,1301.3751,1.292,1.6537713,28.055135,0.16407585,96.826642,311.77988,2.002,1,,,,4.7257056E-5,80.269575,1751.5807,0.98239286,0
33766497.47,,5905,42.0468,42.0762,0.127,9.3E-6,41.851763,0.80503182,41.335077,0.5838,319.42053,0.5823,1306.6182,1.045,0.73771859,28.26311,0.16762414,96.772408,311.08902,1.968,1,,,,4.7116039E-5,84.165406,1751.5701,0.98765436,0
33766749.98,,5905,42.0454,42.0776,0.127,9.4E-6,41.852016,0.80789628,41.33677,0.5838,319.41324,0.5823,1306.6513,1.028,1.4476883,28.284926,0.1680703,96.766168,311.0856,1.966,1,,,,4.7082698E-5,84.789329,1751.5912,0.98768886,0
33767327.67,,5905,44.2803,44.3097,0.127,9.4E-6,44.074982,0.82376592,44.537222,0.6299,352.95529,0.6308,1416.6291,1.361,0.7173286,29.544879,0.17829923,96.758904,317.50009,2.087,1,,,,4.8859465E-5,84.854778,1942.604,1.0104876,0
33767590.63,,5905,44.2729,44.3004,0.127,9.4E-6,44.074489,0.84822866,44.677174,0.6314,352.91386,0.6307,1419.9301,1.228,0.45514082,29.635949,0.17808139,96.767382,317.0728,2.069,1,,,,4.8821811E-5,88.634638,1942.5606,1.0136742,0
33767855.31,,5905,44.2704,44.2983,0.127,9.3E-6,44.07102,0.84819,44.760491,0.6321,352.86455,0.6306,1421.8707,1.087,0.94031638,29.719901,0.18101337,96.719756,316.79628,2.051,1,,,,4.8765263E-5,88.907847,1942.2548,1.0156446,0
33768444.72,,5905,46.5058,46.5372,0.127,9.4E-6,46.304786,0.86505913,47.84125,0.6769,388.73015,0.6805,1531.3134,1.536,1.7054085,30.834103,0.18903754,96.749469,323.43721,2.19,1,,,,5.0597755E-5,89.159702,2144.1332,1.0331815,0
33768720.02,,5905,46.4958,46.5368,0.127,9.4E-6,46.301501,0.88852839,48.111073,0.6796,388.66691,0.6804,1537.6943,1.222,0.65851552,31.119674,0.19460638,96.674199,322.62092,2.149,1,,,,5.0367543E-5,92.50231,2143.829,1.0390824,0
33768996.38,,5905,46.4927,46.5354,0.127,9.4E-6,46.303262,0.89155791,48.153775,0.6801,388.6853,0.6804,1538.7326,1.215,1.1036382,31.179282,0.1948984,96.674141,322.50807,2.148,1,,,,5.0305613E-5,93.359022,2143.992,1.0399651,0
33769592.75,,5905,48.7306,48.7693,0.127,9.4E-6,48.529365,0.90880887,51.206647,0.724,426.38734,0.7243,1649.3458,1.519,0.28682466,32.372206,0.20951991,96.610084,328.94547,2.27,1,,,,5.193886E-5,93.537847,2355.0992,1.0551683,0
33769878.86,,5905,48.7187,48.7644,0.127,9.3E-6,48.528348,0.93172571,51.432558,0.7266,426.32679,0.7242,1654.6806,1.341,0.37629596,32.418969,0.20629819,96.65962,328.2905,2.248,1,,,,5.2018893E-5,97.116617,2355.0005,1.0598456,0
33770164.89,,5905,48.7177,48.7622,0.127,9.3E-6,48.526705,0.93303711,51.353973,0.7252,426.30538,0.7242,1652.7823,1.269,1.8018544,32.494569,0.21122104,96.590082,328.50448,2.239,1,,,,5.1858728E-5,97.256906,2354.8411,1.0582621,0
33770771.91,,5905,50.9537,50.9973,0.127,9.3E-6,50.752118,0.95111863,54.452311,0.7696,465.83607,0.7528,1766.3101,1.531,0.25387947,33.778636,0.22570724,96.546706,334.56288,2.358,1,,,,5.3311589E-5,97.483706,2575.7775,1.0729072,0
33771069.08,,5905,50.9441,50.9901,0.127,9.3E-6,50.750953,0.97440413,54.619395,0.7715,465.76397,0.7528,1770.2284,1.401,0.31823872,33.700507,0.22271164,96.57935,334.08481,2.342,1,,,,5.3545331E-5,101.33591,2575.6592,1.076224,0
33771365.28,,5905,50.9395,50.9909,0.127,9.4E-6,50.750291,0.97358565,54.596094,0.7708,465.77372,0.7528,1769.6816,1.275,1.5515778,33.767617,0.22464601,96.557164,334.14596,2.327,1,,,,5.3429031E-5,101.10152,2575.5921,1.0757789,0
33771969.48,,5905,53.1778,53.2256,0.127,9.3E-6,52.969857,0.99457655,57.745323,0.8162,507.06968,0.7722,1886.19,1.628,0.20868443,35.361649,0.24953647,96.398581,339.78186,2.457,1,,,,5.4413059E-5,101.30285,2805.8058,1.0901544,0
33772279.41,,5905,53.1723,53.205,0.127,9.3E-6,52.979546,1.019822,57.626872,0.8142,507.17619,0.7722,1883.4676,1.533,0.4418745,34.863574,0.23679026,96.538009,340.17255,2.447,1,,,,5.5065621E-5,106.08495,2806.8323,1.0877193,0
33772585.55,,5905,53.1734,53.1949,0.127,9.4E-6,52.971606,1.0137239,57.697034,0.8147,507.04442,0.7722,1885.0115,1.398,0.74055687,34.981867,0.23880057,96.517873,339.92691,2.431,1,,,,5.4931531E-5,104.59072,2805.991,1.0892068,0
33773218.3,,5905,55.4044,55.4385,0.127,9.4E-6,55.195729,1.032731,60.574704,0.856,550.19004,0.7918,1996.884,1.674,0.26829089,36.179193,0.25520756,96.457665,346.08957,2.555,1,,,,5.6265854E-5,104.9456,3046.5685,1.0974527,0
33773535.56,,5905,55.3929,55.4265,0.127,9.3E-6,55.196281,1.0558365,60.714105,0.8574,550.14641,0.7918,2000.1696,1.483,0.3312164,36.123561,0.25371174,96.469093,345.71014,2.533,1,,,,5.6443004E-5,108.53758,3046.6294,1.0999673,0
33773851.52,,5905,55.3937,55.427,0.127,9.3E-6,55.194367,1.0554336,60.73938,0.8575,550.13441,0.7918,2000.7612,1.4,0.68340642,36.205463,0.25666819,96.435187,345.62883,2.523,1,,,,5.6342975E-5,108.37068,3046.4182,1.1004634,0
33774465.58,,5905,57.6303,57.6781,0.127,9.3E-6,57.419829,1.0786137,63.858209,0.9026,594.90594,0.8093,2120.0192,1.818,0.25971952,37.923218,0.28637749,96.251689,350.88842,2.665,1,,,,5.7038325E-5,108.61639,3297.0368,1.1121282,0
33774794.59,,5905,57.6161,57.6555,0.127,9.3E-6,57.435947,1.1047998,63.609423,0.8984,595.13851,0.8094,2114.31,1.584,0.77074649,37.215992,0.26776176,96.436251,351.66353,2.639,1,,,,5.7903757E-5,113.76965,3298.888,1.1074845,0
33775118.66,,5905,57.6211,57.6545,0.127,9.3E-6,57.426041,1.0951735,63.658003,0.8987,594.97014,0.8093,2115.3019,1.484,0.63755452,37.294904,0.26939581,96.420334,351.47058,2.627,1,,,,5.7814073E-5,111.64798,3297.7502,1.1085215,0
33775763.67,,5905,59.8569,59.893,0.127,9.3E-6,59.649548,1.1188066,66.48607,0.9398,642.00309,0.8289,2229.877,1.896,0.17728935,38.788358,0.29467196,96.29009,357.25252,2.77,1,,,,5.8620209E-5,111.88471,3558.0685,1.1146115,0
33776100.42,,5905,59.8405,59.8777,0.127,9.3E-6,59.656177,1.1427968,66.362585,0.9374,642.05262,0.829,2226.9774,1.701,0.29018821,38.251695,0.28282682,96.39256,357.62712,2.749,1,,,,5.9331015E-5,116.36507,3558.8595,1.1124177,0
33776433.77,,5905,59.8441,59.8805,0.127,9.4E-6,59.648166,1.1366009,66.507158,0.9387,641.93207,0.8289,2230.3096,1.451,1.1963473,38.480614,0.28880815,96.334218,357.18712,2.72,1,,,,5.9086559E-5,114.75509,3557.9037,1.1149908,0
33777045.03,,5905,62.0698,62.1164,0.127,9.3E-6,61.856499,1.1584682,69.59691,0.9831,691.67059,0.8559,2353.8401,1.785,0.42674785,40.048718,0.31938422,96.154397,361.9234,2.855,1,,,,5.9956173E-5,115.44184,3826.2264,1.125135,0
