'y-axis saved as y
'x,PDC_PTFI_20200618_1_217_4hr_blackxtal_PbTiO3.raw,Ycalc,Diff
10.489952,8477,0,0
10.5071081,8532,0,0
10.5242642,8588,0,0
10.5414203,8542,0,0
10.5585764,8388,0,0
10.5757325,8571,0,0
10.5928886,8563,0,0
10.6100447,8424,0,0
10.6272008,8588,0,0
10.6443569,8564,0,0
10.661513,8336,0,0
10.6786691,8593,0,0
10.6958252,8391,0,0
10.7129813,8534,0,0
10.7301374,8449,0,0
10.7472935,8521,0,0
10.7644496,8470,0,0
10.7816057,8505,0,0
10.7987618,8439,0,0
10.8159179,8482,0,0
10.833074,8323,0,0
10.8502301,8421,0,0
10.8673862,8414,0,0
10.8845423,8331,0,0
10.9016984,8403,0,0
10.9188545,8354,0,0
10.9360106,8243,0,0
10.9531667,8351,0,0
10.9703228,8267,0,0
10.9874789,8356,0,0
11.004635,8392,0,0
11.0217911,8267,0,0
11.0389472,8259,0,0
11.0561033,8335,0,0
11.0732594,8322,0,0
11.0904155,8307,0,0
11.1075716,8322,0,0
11.1247277,8175,0,0
11.1418838,8302,0,0
11.1590399,8084,0,0
11.176196,8433,0,0
11.1933521,8118,0,0
11.2105082,8365,0,0
11.2276643,8178,0,0
11.2448204,8198,0,0
11.2619765,8155,0,0
11.2791326,8198,0,0
11.2962887,8399,0,0
11.3134448,8205,0,0
11.3306009,8020,0,0
11.347757,8192,0,0
11.3649131,8093,0,0
11.3820692,8197,0,0
11.3992253,8442,0,0
11.4163814,8094,0,0
11.4335375,8045,0,0
11.4506936,8230,0,0
11.4678497,8126,0,0
11.4850058,8215,0,0
11.5021619,8199,0,0
11.519318,8103,0,0
11.5364741,8356,0,0
11.5536302,8078,0,0
11.5707863,8003,0,0
11.5879424,8065,0,0
11.6050985,8158,0,0
11.6222546,8205,0,0
11.6394107,8104,0,0
11.6565668,8065,0,0
11.6737229,8199,0,0
11.690879,8058,0,0
11.7080351,8195,0,0
11.7251912,8081,0,0
11.7423473,8010,0,0
11.7595034,8103,0,0
11.7766595,8029,0,0
11.7938156,7904,0,0
11.8109717,8184,0,0
11.8281278,7978,0,0
11.8452839,8092,0,0
11.86244,8012,0,0
11.8795961,7887,0,0
11.8967522,8015,0,0
11.9139083,8160,0,0
11.9310644,7954,0,0
11.9482205,7827,0,0
11.9653766,7833,0,0
11.9825327,7939,0,0
11.9996888,7914,0,0
12.0168449,7999,0,0
12.034001,7974,0,0
12.0511571,7951,0,0
12.0683132,7767,0,0
12.0854693,7877,0,0
12.1026254,7965,0,0
12.1197815,7860,0,0
12.1369376,7747,0,0
12.1540937,8015,0,0
12.1712498,7918,0,0
12.1884059,7674,0,0
12.205562,7790,0,0
12.2227181,7694,0,0
12.2398742,7811,0,0
12.2570303,7777,0,0
12.2741864,7834,0,0
12.2913425,7662,0,0
12.3084986,7733,0,0
12.3256547,7785,0,0
12.3428108,7801,0,0
12.3599669,7819,0,0
12.377123,7806,0,0
12.3942791,7648,0,0
12.4114352,7703,0,0
12.4285913,7816,0,0
12.4457474,7675,0,0
12.4629035,7872,0,0
12.4800596,7651,0,0
12.4972157,7731,0,0
12.5143718,7604,0,0
12.5315279,7737,0,0
12.548684,7664,0,0
12.5658401,7848,0,0
12.5829962,7622,0,0
12.6001523,7725,0,0
12.6173084,7580,0,0
12.6344645,7470,0,0
12.6516206,7538,0,0
12.6687767,7698,0,0
12.6859328,7691,0,0
12.7030889,7702,0,0
12.720245,7551,0,0
12.7374011,7563,0,0
12.7545572,7699,0,0
12.7717133,7523,0,0
12.7888694,7622,0,0
12.8060255,7713,0,0
12.8231816,7798,0,0
12.8403377,7461,0,0
12.8574938,7512,0,0
12.8746499,7449,0,0
12.891806,7543,0,0
12.9089621,7461,0,0
12.9261182,7653,0,0
12.9432743,7445,0,0
12.9604304,7754,0,0
12.9775865,7492,0,0
12.9947426,7449,0,0
13.0118987,7409,0,0
13.0290548,7485,0,0
13.0462109,7498,0,0
13.063367,7481,0,0
13.0805231,7497,0,0
13.0976792,7363,0,0
13.1148353,7336,0,0
13.1319914,7407,0,0
13.1491475,7495,0,0
13.1663036,7394,0,0
13.1834597,7418,0,0
13.2006158,7325,0,0
13.2177719,7226,0,0
13.234928,7377,0,0
13.2520841,7448,0,0
13.2692402,7300,0,0
13.2863963,7276,0,0
13.3035524,7383,0,0
13.3207085,7404,0,0
13.3378646,7286,0,0
13.3550207,7342,0,0
13.3721768,7447,0,0
13.3893329,7337,0,0
13.406489,7441,0,0
13.4236451,7241,0,0
13.4408012,7165,0,0
13.4579573,7250,0,0
13.4751134,7121,0,0
13.4922695,7158,0,0
13.5094256,7473,0,0
13.5265817,7138,0,0
13.5437378,7410,0,0
13.5608939,7187,0,0
13.57805,7146,0,0
13.5952061,7176,0,0
13.6123622,7312,0,0
13.6295183,7286,0,0
13.6466744,7187,0,0
13.6638305,7330,0,0
13.6809866,7325,0,0
13.6981427,7161,0,0
13.7152988,7409,0,0
13.7324549,7243,0,0
13.749611,7197,0,0
13.7667671,7306,0,0
13.7839232,7230,0,0
13.8010793,7037,0,0
13.8182354,7264,0,0
13.8353915,7245,0,0
13.8525476,7197,0,0
13.8697037,7212,0,0
13.8868598,7061,0,0
13.9040159,7150,0,0
