'y-axis saved as y
'x,PDC_LDFZ_20201113_1_217_2_(PBF1_20201110)-4hr-PbTiO3-second-cut-of-grown-crystal.raw,Ycalc,Diff
14.4757656,5651,0,0
14.4929008,5661,0,0
14.510036,5690,0,0
14.5271712,5623,0,0
14.5443064,5621,0,0
14.5614416,5644,0,0
14.5785768,5554,0,0
14.595712,5628,0,0
14.6128472,5598,0,0
14.6299824,5495,0,0
14.6471176,5550,0,0
14.6642528,5699,0,0
14.681388,5566,0,0
14.6985232,5636,0,0
14.7156584,5648,0,0
14.7327936,5560,0,0
14.7499288,5491,0,0
14.767064,5559,0,0
14.7841992,5611,0,0
14.8013344,5631,0,0
14.8184696,5719,0,0
14.8356048,5445,0,0
14.85274,5604,0,0
14.8698752,5619,0,0
14.8870104,5538,0,0
14.9041456,5522,0,0
14.9212808,5538,0,0
14.938416,5412,0,0
14.9555512,5564,0,0
14.9726864,5376,0,0
14.9898216,5533,0,0
15.0069568,5427,0,0
15.024092,5599,0,0
15.0412272,5381,0,0
15.0583624,5464,0,0
15.0754976,5493,0,0
15.0926328,5504,0,0
15.109768,5469,0,0
15.1269032,5522,0,0
15.1440384,5531,0,0
15.1611736,5471,0,0
15.1783088,5519,0,0
15.195444,5551,0,0
15.2125792,5501,0,0
15.2297144,5405,0,0
15.2468496,5470,0,0
15.2639848,5447,0,0
15.28112,5480,0,0
15.2982552,5417,0,0
15.3153904,5430,0,0
15.3325256,5458,0,0
15.3496608,5372,0,0
15.366796,5456,0,0
15.3839312,5424,0,0
15.4010664,5400,0,0
15.4182016,5410,0,0
15.4353368,5419,0,0
15.452472,5346,0,0
15.4696072,5471,0,0
15.4867424,5361,0,0
15.5038776,5501,0,0
15.5210128,5323,0,0
15.538148,5432,0,0
15.5552832,5377,0,0
15.5724184,5342,0,0
15.5895536,5206,0,0
15.6066888,5475,0,0
15.623824,5494,0,0
15.6409592,5277,0,0
15.6580944,5422,0,0
15.6752296,5413,0,0
15.6923648,5411,0,0
15.7095,5261,0,0
15.7266352,5413,0,0
15.7437704,5421,0,0
15.7609056,5386,0,0
15.7780408,5335,0,0
15.795176,5318,0,0
15.8123112,5399,0,0
15.8294464,5404,0,0
15.8465816,5235,0,0
15.8637168,5429,0,0
15.880852,5464,0,0
15.8979872,5365,0,0
15.9151224,5284,0,0
15.9322576,5405,0,0
